Country Name;2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020]
Afghanistan;..;..;877.01426830392;927.857548047018;925.441429176842;1023.05174932878;1077.76153966077;1228.70386342946;1272.57297477768;1519.69292278438;1710.57541109225;1699.48811019742;1914.77422837964;2015.51477466948;2069.42402167356;2087.30532306683;1981.11806850696;2058.4002210698;2082.63564821362;2152.3664894209;2077.8745536104
Albania;3862.48445469754;4301.38428019685;4661.37708163527;4994.92823034612;5423.20499219678;5865.31605918103;6557.80058533436;7274.52649345771;8228.32717914344;8819.49891254807;9636.10411846626;10207.7328744708;10526.319131674;10570.970844547;11259.2996861367;11658.8699613204;12078.7997440492;12770.9710014856;13554.8989476972;14336.7730240299;13899.9339813847
Algeria;8446.58774102862;8775.11790745312;9293.83714349081;10019.3578919395;10591.0381897757;11405.6425223873;11776.0404022627;12311.0384280957;12643.1514779138;12722.3786946243;13095.449178663;13500.0447902878;13303.3275185881;13056.8025915699;13003.2668603131;12015.6405282427;11624.3407751545;11737.4012353821;11909.9298247204;12009.248207942;11320.0188196636
American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;3289.40954946819;3389.19696691951;3785.1503220062;3838.7950524777;4225.4679269176;4837.70982676046;5362.01984289893;6050.61055453052;6607.29163426752;6470.67524420331;6587.98693898257;6710.75062298751;7412.96703464311;7682.47538648506;8179.29782812609;7337.56982204938;7103.22643061091;7310.89658895511;7099.97195809928;6952.41936236851;6443.03267984657
Antigua and Barbuda;16843.1216095067;16173.3262222136;16367.734900892;17458.8837289464;18718.3707760024;20269.690993938;23180.4007139502;25613.5465027525;25690.689492805;22435.3937041743;20611.4457775542;20347.8684831466;19598.0238599601;18797.6263678382;19039.0045029811;18911.3068944389;19920.2657838504;19840.2840357027;21521.8850511088;22774.1742001371;18235.0751684121
Argentina;11618.7932334926;11226.8797464943;10052.4882560869;11025.1860988296;12214.7407113551;13568.7692061284;14951.7289508076;16570.0078336983;17404.0691420333;16334.7408131075;18061.9343589164;19322.2271236942;19641.3528638347;20131.6804246983;19683.7715056442;20105.1989918165;20307.870052142;23597.117752839;23293.3986337639;22999.2750525577;20762.9916793656
Armenia;2658.34432173041;2995.90884550107;3463.98606346213;4043.65506161727;4614.86980387949;5455.43499457867;6411.81964016089;7551.64363563305;8300.49198824733;7233.03992810233;7506.32190855914;8025.4584849173;9364.37529918435;9835.80246091985;10036.8898405952;9969.66485397823;10704.2297624759;12115.1392902637;13020.3963185992;14231.1801885329;13307.1566071802
Aruba;32026.9727415196;31064.3556476532;29847.9283520918;30356.0452745934;33050.9033772923;34051.4928047902;35168.5614695776;36619.588029091;37247.9805023973;33553.8820015977;32625.4926908747;34324.7993588886;33567.5500169846;36829.0327743518;36779.429429343;37311.7503195981;37585.0250792115;38897.122666275;..;..;..
Australia;26343.8600812542;27424.6685295368;28768.7286317056;29792.2628479502;31393.8769621585;32653.4016208815;34357.8935848301;36581.5454471124;37499.5251319174;40311.0854257338;39351.0865561078;42003.1580559752;42836.6718635909;45906.4400399472;46880.8951800484;46248.6164566389;47255.3070085957;48398.5497014956;50100.2246659075;52030.6439078121;52397.3870478043
Austria;29388.7774746532;29715.6408471561;31178.6933297272;32111.1244333186;33745.847650488;35013.7140443423;37611.8042485063;39382.7970602244;41316.225176699;40948.2221602982;42041.486681307;44452.7327457999;46457.3457770311;47922.0491207455;48799.7154676985;49865.9039424185;52684.0171130768;54172.9867888254;57059.5389390915;58641.2981209931;55648.8745645323
Azerbaijan;3385.5127273497;3772.94378267173;4163.19998698029;4638.12476816102;5158.39459385476;6737.14620835883;9233.68079666208;11718.5267261314;12956.834046821;13976.1096357098;14677.1648204193;14804.5744507911;15957.7188502849;17188.9455056612;17443.8782563093;14938.4011276715;14371.0227410092;14121.4069355591;14550.7628169318;15052.7938701564;14474.3133611167
Bahamas, The;28034.1965161346;28956.8955024979;29715.6952831507;29363.121938633;29869.4063424936;31261.773574933;32401.6259235917;33117.6050712001;32373.492644525;30728.818092197;31090.5816457788;31522.0202333876;32216.6977983187;31650.4390099407;33248.1132875149;33937.418758978;34338.5195561543;35917.7570326171;37416.9722554382;37973.2472481629;32526.4522368096
Bahrain;42181.9060430048;42094.5814216923;41932.5835516097;42860.4822233235;44185.3385399123;45400.8527009258;46200.6358641054;47532.8591584055;47847.6152454812;46498.8434018951;46872.9477813149;47377.4983094697;50675.6210184322;51494.4117178119;51101.9770222914;45575.7835718316;44768.9709139461;47709.7780156397;47503.0619389863;47228.1000429956;43739.5615231256
Bangladesh;1331.54842861048;1403.12621854246;1453.26225725918;1523.79747808748;1620.42505311916;1753.87460797871;1901.71670067808;2065.15477333591;2206.51037075368;2309.56363735967;2439.06962718124;2620.83379040874;2937.6287981042;3143.58550275239;3368.05616403141;3555.50525970603;3848.95766369191;4160.70332471531;4547.48001638788;4954.76184812582;5136.73964466824
Barbados;12705.1228737181;12630.94303922;12887.8262164847;13368.3499351522;13873.8960912826;14816.1172972448;16098.2105334943;16820.353282898;17190.9462185782;16374.5150748113;16127.8113837512;16304.3824246065;15310.1139268025;15334.8282457896;15175.4956415237;15510.6612056616;15951.9586760888;15789.0411622149;16051.2558119276;16300.422208391;13344.5991750492
Belarus;5808.35742587087;6248.21138224153;6709.84550284634;7367.19377907469;8489.48408699124;9642.42979250313;10994.7667382994;12317.4565015173;13885.7467207654;14054.106018462;15360.1478975791;16563.2014078209;18105.2867180444;18994.1901887615;19008.0610153147;18095.6651782737;17785.9431970966;18356.1007741722;19430.2787724315;20094.5258122074;20231.6650123719
Belgium;27796.6460731837;28800.5170490185;30282.2886450283;30901.0031866127;32036.5012287535;33177.8909458158;35212.0235620337;36746.5513746828;37883.3319417819;37777.3278274072;39870.4948741712;40942.372710454;42290.7620520019;43671.11959259;44929.685593416;46200.904454307;48597.3999826201;50442.2705419624;52623.5596660316;54918.1661960147;52626.5816380304
